id,Machine_Failure_Prediction,probs
136429,0,0.0022342383255078476
136430,0,0.0010420575168353743
136431,0,0.0027765000233803605
136432,0,0.003284707968306205
136433,0,0.003455285259792662
136434,0,0.003056956618866146
136435,0,0.004176442839104812
136436,0,0.004705041987932553
136437,0,0.0010641700241796706
136438,0,0.0010484273535306687
136439,0,0.0025268507404036166
136440,0,0.002395737354277485
136441,0,0.0012223093644375329
136442,0,0.0018415601708543766
136443,0,0.0025709870168532244
136444,0,0.0058134724849709316
136445,0,0.0010120194216855628
136446,1,0.9915636510390058
136447,0,0.002191424623262212
136448,0,0.0016148060379375133
136449,0,0.00619750265854769
136450,0,0.004245173929244934
136451,0,0.01867307417252939
136452,0,0.020936638389924177
136453,0,0.004000587863826444
136454,0,0.0015681746837549703
136455,0,0.0015430987974323707
136456,0,0.0065408584783752735
136457,0,0.00633844730467462
136458,0,0.004828936988431382
136459,0,0.003368684465904397
136460,0,0.0032842427002562386
136461,0,0.0013456126558888774
136462,0,0.022222816225129824
136463,0,0.0019954744069177683
136464,0,0.002914569371014858
136465,0,0.001789833111366799
136466,0,0.0018479900185208126
136467,0,0.0011300625811532898
136468,0,0.0027493405740955873
136469,0,0.0014289752460182575
136470,0,0.002569690210589474
136471,0,0.009556513175919327
136472,0,0.007351040935628108
136473,0,0.002641570904077468
136474,0,0.002065879737753408
136475,0,0.0034371027511097075
136476,0,0.00758341244617808
136477,0,0.00230894950193946
136478,0,0.0023766526798299653
136479,0,0.0014037142060009161
136480,0,0.006239932922222327
136481,0,0.002562275403211087
136482,0,0.03242920033022728
136483,0,0.003386719766504742
136484,0,0.0010057464734569707
136485,0,0.0014571870650256506
136486,0,0.002213745932378728
136487,0,0.0014921509407393155
136488,0,0.004852797828400697
136489,0,0.001221029471570469
136490,0,0.024427187301554517
136491,0,0.004526633359358811
136492,0,0.0032739562730360636
136493,0,0.0037247632257664948
136494,0,0.0012061350335961284
136495,0,0.002892602337751843
136496,0,0.004159806447439114
136497,0,0.0024041050057456307
136498,0,0.010388141224985756
136499,0,0.0015785777420766955
136500,0,0.0008173910737813482
136501,0,0.001389349271607622
136502,0,0.005572203557673894
136503,0,0.002866402906087831
136504,0,0.0012950886815547911
136505,0,0.0009597870765162933
136506,0,0.0029082483077758343
136507,0,0.0007026394306114421
136508,0,0.001307915268133689
136509,0,0.004184313470761308
136510,0,0.0016711669604411498
136511,0,0.01077785688201337
136512,0,0.0009352351288418764
136513,0,0.007113803194090911
136514,0,0.0022573109851844533
136515,0,0.0024201640811815713
136516,0,0.0035594279540050395
136517,0,0.0018586406649151574
136518,0,0.0015997779668985015
136519,0,0.003077716590571131
136520,0,0.0021205389673930116
136521,0,0.0016414201427957394
136522,0,0.0034004425340184476
136523,0,0.0012799037526252859
136524,0,0.0014560172743652551
136525,0,0.005621713940827727
136526,0,0.006598191747105539
136527,0,0.007855050837157361
136528,0,0.0013187333859232284
136529,0,0.0065054913187562015
136530,0,0.0032112571400944078
136531,0,0.0036781018823704398
136532,0,0.003598541369192569
136533,0,0.0033863781285214853
136534,0,0.0005509804597442906
136535,0,0.0025391346821216887
136536,0,0.0020636326167890323
136537,0,0.0009167753226122807
136538,0,0.0055920254743889175
136539,0,0.0014067056958257016
136540,0,0.0020773637677504782
136541,0,0.0007684797444204188
136542,0,0.003975274976561042
136543,0,0.007426176186933669
136544,0,0.002264773233838905
